bank_tx,ledger_tx,match,scenario
B_hard_0044,TXN_hard_0044,False,date_trap
B_hard_0045,,False,similar_merchant_trap
B_hard_0046,TXN_hard_0046,False,date_trap
B_hard_0047,TXN_hard_0047,False,date_trap
B_hard_0048,,False,similar_merchant_trap
B_hard_0049,TXN_hard_0049,False,amount_mismatch
B_hard_0050,TXN_hard_0050,True,duplicate
B_hard_0050_dup,,False,duplicate
B_hard_0051,,False,similar_merchant_trap
B_hard_0052,TXN_hard_0052,True,duplicate
B_hard_0052_dup,,False,duplicate
B_hard_0053,TXN_hard_0053,False,date_trap
B_hard_0054,TXN_hard_0054,False,date_trap
B_hard_0055,TXN_hard_0055,False,amount_mismatch
B_hard_0056,TXN_hard_0056,False,date_trap
B_hard_0057,TXN_hard_0057,True,duplicate
B_hard_0057_dup,,False,duplicate
B_hard_0058,,False,similar_merchant_trap
B_hard_0059,,False,similar_merchant_trap
B_hard_0060,,False,similar_merchant_trap
B_hard_0061,TXN_hard_0061,False,amount_mismatch
B_hard_0062,TXN_hard_0062,False,date_trap
B_hard_0063,,False,similar_merchant_trap
B_hard_0064,TXN_hard_0064,True,duplicate
B_hard_0064_dup,,False,duplicate
B_hard_0065,TXN_hard_0065,False,date_trap
B_hard_0066,,False,similar_merchant_trap
B_hard_0067,TXN_hard_0067,False,amount_mismatch
B_hard_0068,TXN_hard_0068,False,date_trap
B_hard_0069,TXN_hard_0069,True,duplicate
B_hard_0069_dup,,False,duplicate
B_hard_0070,TXN_hard_0070,False,date_trap
B_hard_0071,TXN_hard_0071,True,duplicate
B_hard_0071_dup,,False,duplicate
B_hard_0072,TXN_hard_0072,False,amount_mismatch
B_hard_0073,TXN_hard_0073,True,duplicate
B_hard_0073_dup,,False,duplicate
B_hard_0074,TXN_hard_0074,False,date_trap
B_hard_0075,TXN_hard_0075,True,duplicate
B_hard_0075_dup,,False,duplicate
B_hard_0076,,False,similar_merchant_trap
B_hard_0077,TXN_hard_0077,False,amount_mismatch
B_hard_0078,TXN_hard_0078,True,duplicate
B_hard_0078_dup,,False,duplicate
B_hard_0079,TXN_hard_0079,True,duplicate
B_hard_0079_dup,,False,duplicate
B_hard_0080,TXN_hard_0080,False,date_trap
B_hard_0081,TXN_hard_0081,False,amount_mismatch
B_hard_0082,TXN_hard_0082,False,amount_mismatch
B_hard_0083,TXN_hard_0083,False,amount_mismatch
B_hard_0084,TXN_hard_0084,False,amount_mismatch
B_hard_0085,TXN_hard_0085,False,date_trap
B_hard_0086,TXN_hard_0086,False,date_trap
B_hard_0087,TXN_hard_0087,True,duplicate
B_hard_0087_dup,,False,duplicate
B_hard_0088,TXN_hard_0088,False,date_trap
B_hard_0089,TXN_hard_0089,True,duplicate
B_hard_0089_dup,,False,duplicate
B_hard_0090,TXN_hard_0090,True,duplicate
B_hard_0090_dup,,False,duplicate
B_hard_0091,TXN_hard_0091,True,duplicate
B_hard_0091_dup,,False,duplicate
B_hard_0092,TXN_hard_0092,True,duplicate
B_hard_0092_dup,,False,duplicate
B_hard_0093,,False,similar_merchant_trap
B_hard_0094,,False,similar_merchant_trap
B_hard_0095,,False,similar_merchant_trap
B_hard_0096,TXN_hard_0096,False,amount_mismatch
B_hard_0097,TXN_hard_0097,False,amount_mismatch
B_hard_0098,TXN_hard_0098,False,amount_mismatch
B_hard_0099,TXN_hard_0099,True,duplicate
B_hard_0099_dup,,False,duplicate
B_hard_0100,TXN_hard_0100,True,duplicate
B_hard_0100_dup,,False,duplicate
B_hard_0101,TXN_hard_0101,True,duplicate
B_hard_0101_dup,,False,duplicate
B_hard_0102,TXN_hard_0102,False,date_trap
B_hard_0103,TXN_hard_0103,False,amount_mismatch
B_hard_0104,TXN_hard_0104,False,amount_mismatch
B_hard_0105,,False,similar_merchant_trap
B_hard_0106,TXN_hard_0106,True,duplicate
B_hard_0106_dup,,False,duplicate
B_hard_0107,TXN_hard_0107,False,date_trap
B_hard_0108,TXN_hard_0108,False,date_trap
B_hard_0109,TXN_hard_0109,False,date_trap
B_hard_0110,,False,similar_merchant_trap
B_hard_0111,TXN_hard_0111,False,amount_mismatch
B_hard_0112,TXN_hard_0112,True,duplicate
B_hard_0112_dup,,False,duplicate
B_hard_0113,TXN_hard_0113,False,date_trap
B_hard_0114,,False,similar_merchant_trap
B_hard_0115,TXN_hard_0115,False,date_trap
B_hard_0116,TXN_hard_0116,False,amount_mismatch
B_hard_0117,TXN_hard_0117,True,duplicate
B_hard_0117_dup,,False,duplicate
B_hard_0118,TXN_hard_0118,False,date_trap
B_hard_0119,TXN_hard_0119,False,date_trap
B_hard_0120,TXN_hard_0120,False,date_trap
B_hard_0121,TXN_hard_0121,False,date_trap
B_hard_0122,TXN_hard_0122,False,amount_mismatch
B_hard_0123,TXN_hard_0123,False,date_trap
B_hard_0124,TXN_hard_0124,False,amount_mismatch
B_hard_0125,TXN_hard_0125,True,duplicate
B_hard_0125_dup,,False,duplicate
B_hard_0126,,False,similar_merchant_trap
B_hard_0127,,False,similar_merchant_trap
B_hard_0128,TXN_hard_0128,False,amount_mismatch
B_hard_0129,,False,similar_merchant_trap
B_hard_0130,,False,similar_merchant_trap
B_hard_0131,TXN_hard_0131,False,amount_mismatch
B_hard_0132,TXN_hard_0132,False,date_trap
B_hard_0133,TXN_hard_0133,True,duplicate
B_hard_0133_dup,,False,duplicate
B_hard_0134,TXN_hard_0134,True,duplicate
B_hard_0134_dup,,False,duplicate
B_hard_0135,TXN_hard_0135,True,duplicate
B_hard_0135_dup,,False,duplicate
B_hard_0136,TXN_hard_0136,False,date_trap
B_hard_0137,,False,similar_merchant_trap
B_hard_0138,,False,similar_merchant_trap
B_hard_0139,TXN_hard_0139,False,date_trap
B_hard_0140,,False,similar_merchant_trap
B_hard_0141,TXN_hard_0141,False,date_trap
B_hard_0142,TXN_hard_0142,False,date_trap
B_hard_0143,,False,similar_merchant_trap
B_hard_0144,,False,similar_merchant_trap
B_hard_0145,TXN_hard_0145,True,duplicate
B_hard_0145_dup,,False,duplicate
B_hard_0146,TXN_hard_0146,False,date_trap
B_hard_0147,TXN_hard_0147,False,date_trap
B_hard_0148,TXN_hard_0148,False,amount_mismatch
B_hard_0149,TXN_hard_0149,True,duplicate
B_hard_0149_dup,,False,duplicate
B_hard_0150,TXN_hard_0150,True,duplicate
B_hard_0150_dup,,False,duplicate
B_hard_0151,TXN_hard_0151,False,date_trap
B_hard_0152,,False,similar_merchant_trap
B_hard_0153,TXN_hard_0153,False,date_trap
B_hard_0154,,False,similar_merchant_trap
B_hard_0155,TXN_hard_0155,False,amount_mismatch
B_hard_0156,TXN_hard_0156,False,date_trap
B_hard_0157,TXN_hard_0157,False,amount_mismatch
B_hard_0158,,False,similar_merchant_trap
B_hard_0159,,False,similar_merchant_trap
B_hard_0160,TXN_hard_0160,True,duplicate
B_hard_0160_dup,,False,duplicate
B_hard_0161,TXN_hard_0161,True,duplicate
B_hard_0161_dup,,False,duplicate
B_hard_0162,TXN_hard_0162,False,amount_mismatch
B_hard_0163,,False,similar_merchant_trap
B_hard_0164,,False,similar_merchant_trap
B_hard_0165,TXN_hard_0165,False,date_trap
B_hard_0166,TXN_hard_0166,False,date_trap
B_hard_0167,,False,similar_merchant_trap
B_hard_0168,TXN_hard_0168,True,duplicate
B_hard_0168_dup,,False,duplicate
B_hard_0169,TXN_hard_0169,True,duplicate
B_hard_0169_dup,,False,duplicate
B_hard_0170,,False,similar_merchant_trap
B_hard_0171,,False,similar_merchant_trap
B_hard_0172,TXN_hard_0172,False,date_trap
B_hard_0173,TXN_hard_0173,False,amount_mismatch
B_hard_0174,TXN_hard_0174,True,duplicate
B_hard_0174_dup,,False,duplicate
B_hard_0175,TXN_hard_0175,True,duplicate
B_hard_0175_dup,,False,duplicate
B_hard_0176,TXN_hard_0176,False,amount_mismatch
B_hard_0177,TXN_hard_0177,False,amount_mismatch
B_hard_0178,TXN_hard_0178,False,date_trap
B_hard_0179,TXN_hard_0179,True,duplicate
B_hard_0179_dup,,False,duplicate
B_hard_0180,TXN_hard_0180,False,date_trap
B_hard_0181,,False,similar_merchant_trap
B_hard_0182,TXN_hard_0182,True,duplicate
B_hard_0182_dup,,False,duplicate
B_hard_0183,TXN_hard_0183,True,duplicate
B_hard_0183_dup,,False,duplicate
B_hard_0184,TXN_hard_0184,False,date_trap
B_hard_0185,TXN_hard_0185,True,duplicate
B_hard_0185_dup,,False,duplicate
B_hard_0186,TXN_hard_0186,True,duplicate
B_hard_0186_dup,,False,duplicate
B_hard_0187,TXN_hard_0187,False,amount_mismatch
B_hard_0188,TXN_hard_0188,True,duplicate
B_hard_0188_dup,,False,duplicate
B_hard_0189,TXN_hard_0189,True,duplicate
B_hard_0189_dup,,False,duplicate
B_hard_0190,TXN_hard_0190,True,duplicate
B_hard_0190_dup,,False,duplicate
B_hard_0191,TXN_hard_0191,False,date_trap
B_hard_0192,TXN_hard_0192,False,amount_mismatch
B_hard_0193,,False,similar_merchant_trap
B_hard_0194,TXN_hard_0194,False,date_trap
B_hard_0195,TXN_hard_0195,False,date_trap
B_hard_0196,TXN_hard_0196,False,amount_mismatch
B_hard_0197,TXN_hard_0197,False,amount_mismatch
B_hard_0198,TXN_hard_0198,True,duplicate
B_hard_0198_dup,,False,duplicate
B_hard_0199,,False,similar_merchant_trap
B_hard_0200,,False,similar_merchant_trap
B_hard_0201,TXN_hard_0201,True,duplicate
B_hard_0201_dup,,False,duplicate
B_hard_0202,TXN_hard_0202,True,duplicate
B_hard_0202_dup,,False,duplicate
B_hard_0203,TXN_hard_0203,True,duplicate
B_hard_0203_dup,,False,duplicate
B_hard_0204,TXN_hard_0204,False,date_trap
B_hard_0205,,False,similar_merchant_trap
B_hard_0206,TXN_hard_0206,False,amount_mismatch
B_hard_0207,,False,similar_merchant_trap
B_hard_0208,TXN_hard_0208,True,duplicate
B_hard_0208_dup,,False,duplicate
B_hard_0209,TXN_hard_0209,False,date_trap
B_hard_0210,TXN_hard_0210,True,duplicate
B_hard_0210_dup,,False,duplicate
B_hard_0211,,False,similar_merchant_trap
B_hard_0212,TXN_hard_0212,False,amount_mismatch
B_hard_0213,,False,similar_merchant_trap
B_hard_0214,TXN_hard_0214,False,amount_mismatch
B_hard_0215,TXN_hard_0215,True,duplicate
B_hard_0215_dup,,False,duplicate
B_hard_0216,TXN_hard_0216,False,date_trap
B_hard_0217,TXN_hard_0217,True,duplicate
B_hard_0217_dup,,False,duplicate
B_hard_0218,TXN_hard_0218,False,date_trap
B_hard_0219,TXN_hard_0219,False,amount_mismatch
B_hard_0220,TXN_hard_0220,False,amount_mismatch
B_hard_0221,TXN_hard_0221,False,amount_mismatch
B_hard_0222,TXN_hard_0222,False,date_trap
B_hard_0223,,False,similar_merchant_trap
B_hard_0224,TXN_hard_0224,True,duplicate
B_hard_0224_dup,,False,duplicate
B_hard_0225,TXN_hard_0225,False,date_trap
B_hard_0226,TXN_hard_0226,True,duplicate
B_hard_0226_dup,,False,duplicate
B_hard_0227,TXN_hard_0227,False,date_trap
B_hard_0228,TXN_hard_0228,False,date_trap
B_hard_0229,,False,similar_merchant_trap
B_hard_0230,,False,similar_merchant_trap
B_hard_0231,TXN_hard_0231,False,date_trap
B_hard_0232,TXN_hard_0232,True,duplicate
B_hard_0232_dup,,False,duplicate
B_hard_0233,,False,similar_merchant_trap
B_hard_0234,TXN_hard_0234,True,duplicate
B_hard_0234_dup,,False,duplicate
B_hard_0235,TXN_hard_0235,True,duplicate
B_hard_0235_dup,,False,duplicate
B_hard_0236,,False,similar_merchant_trap
B_hard_0237,TXN_hard_0237,False,amount_mismatch
B_hard_0238,,False,similar_merchant_trap
B_hard_0239,TXN_hard_0239,False,date_trap
B_hard_0240,TXN_hard_0240,False,amount_mismatch
B_hard_0241,TXN_hard_0241,False,date_trap
B_hard_0242,,False,similar_merchant_trap
B_hard_0243,TXN_hard_0243,False,date_trap
B_hard_0244,TXN_hard_0244,False,date_trap
B_hard_0245,TXN_hard_0245,True,duplicate
B_hard_0245_dup,,False,duplicate
B_hard_0246,,False,similar_merchant_trap
B_hard_0247,TXN_hard_0247,False,date_trap
B_hard_0248,,False,similar_merchant_trap
B_hard_0249,,False,similar_merchant_trap
B_hard_0250,TXN_hard_0250,False,amount_mismatch
B_hard_0251,TXN_hard_0251,False,amount_mismatch
B_hard_0252,TXN_hard_0252,False,amount_mismatch
B_hard_0253,TXN_hard_0253,False,date_trap
B_hard_0254,TXN_hard_0254,False,amount_mismatch
B_hard_0255,TXN_hard_0255,False,date_trap
B_hard_0256,TXN_hard_0256,False,amount_mismatch
B_hard_0257,TXN_hard_0257,True,duplicate
B_hard_0257_dup,,False,duplicate
B_hard_0258,TXN_hard_0258,False,date_trap
B_hard_0259,TXN_hard_0259,False,date_trap
B_hard_0260,,False,similar_merchant_trap
B_hard_0261,TXN_hard_0261,False,amount_mismatch
B_hard_0262,TXN_hard_0262,False,amount_mismatch
B_hard_0263,TXN_hard_0263,False,date_trap
B_hard_0264,TXN_hard_0264,False,date_trap
B_hard_0265,TXN_hard_0265,False,date_trap
B_hard_0266,,False,similar_merchant_trap
B_hard_0267,TXN_hard_0267,False,amount_mismatch
B_hard_0268,TXN_hard_0268,False,amount_mismatch
B_hard_0269,TXN_hard_0269,False,amount_mismatch
B_hard_0270,TXN_hard_0270,True,duplicate
B_hard_0270_dup,,False,duplicate
B_hard_0271,TXN_hard_0271,False,amount_mismatch
B_hard_0272,TXN_hard_0272,False,date_trap
B_hard_0273,,False,similar_merchant_trap
B_hard_0274,TXN_hard_0274,True,duplicate
B_hard_0274_dup,,False,duplicate
B_hard_0275,TXN_hard_0275,True,duplicate
B_hard_0275_dup,,False,duplicate
B_hard_0276,TXN_hard_0276,False,date_trap
B_hard_0277,TXN_hard_0277,False,date_trap
B_hard_0278,TXN_hard_0278,False,date_trap
B_hard_0279,TXN_hard_0279,True,duplicate
B_hard_0279_dup,,False,duplicate
B_hard_0280,,False,similar_merchant_trap
B_hard_0281,TXN_hard_0281,False,date_trap
B_hard_0282,TXN_hard_0282,False,date_trap
B_hard_0283,TXN_hard_0283,False,amount_mismatch
B_hard_0284,TXN_hard_0284,False,date_trap
B_hard_0285,TXN_hard_0285,True,duplicate
B_hard_0285_dup,,False,duplicate
B_hard_0286,,False,similar_merchant_trap
B_hard_0287,TXN_hard_0287,False,amount_mismatch
B_hard_0288,TXN_hard_0288,False,date_trap
B_hard_0289,TXN_hard_0289,False,amount_mismatch
B_hard_0290,,False,similar_merchant_trap
B_hard_0291,TXN_hard_0291,False,date_trap
B_hard_0292,,False,similar_merchant_trap
B_hard_0293,TXN_hard_0293,True,duplicate
B_hard_0293_dup,,False,duplicate
B_hard_0294,,False,similar_merchant_trap
B_hard_0295,TXN_hard_0295,True,duplicate
B_hard_0295_dup,,False,duplicate
B_hard_0296,,False,similar_merchant_trap
B_hard_0297,TXN_hard_0297,False,amount_mismatch
B_hard_0298,TXN_hard_0298,True,duplicate
B_hard_0298_dup,,False,duplicate
B_hard_0299,TXN_hard_0299,False,amount_mismatch
